Life Regen,ライフ再生
{0}% additional Physical Damage Reduction when on Low Life,低ライフ時に{0}%の物理ダメージ軽減率追加
Share Endurance Charges with nearby party members,近くのパーティメンバーとエンデュランスチャージを共有する
Share Frenzy Charges with nearby party members,近くのパーティメンバーとフレンジーチャージを共有する
Share Power Charges with nearby party members,近くのパーティメンバーとパワーチャージを共有する
{0}% chance to Blind Enemies on hit,ヒット時に{0}%の確率で敵を盲目にする
Grants Fortify on Melee hit,近接ヒット時にフォートファイを付与する
{0}% chance to Fortify on Melee hit,近接ヒット時にフォートファイを付与する確率が {0}%
{0}% increased Fortify duration,フォートファイの持続時間が {0}% 上昇
{0}% reduced Fortify duration,フォートファイの持続時間が {0}% 低下
{0}% increased Fortify Effect,フォートファイの効果が {0}% 上昇
{0}% reduced Fortify Effect,フォートファイの効果が {0}% 低下
{0}% increased Melee Physical Damage while you have Fortify,フォートファイがある場合、近接物理ダメージが {0}% 上昇
{0}% reduced Melee Physical Damage while you have Fortify,フォートファイがある場合、近接物理ダメージが {0}% 低下
You have no Life Regeneration,プレイヤーはライフが自動回復しなくなる
You have no Mana Regeneration,プレイヤーはマナが自動回復しなくなる
{0}% additional Physical Damage Reduction,物理ダメージ軽減率が{0}%される
Minions have {0}% additional Physical Damage Reduction,ミニオンは{0}%の追加物理ダメージ軽減率を持つ
{0}% additional Physical Damage Reduction per Endurance Charge,エンデュランスチャージ1個ごとに{0}%の物理ダメージ軽減率追加
Area is {0}% larger,エリアが{0}%大きい
Area is a Maze,エリアは迷路である
Area contains unbridged gaps to cross,エリアには通ることができず橋のかかってない裂け目がある
Area has increased monster variety,エリアのモンスターの種類が増える
Area has patches of burning ground,エリアに燃える地面のパッチがある
Area has patches of chilled ground,エリアには冷却領域がまだらに存在する
Area has patches of shocking ground,エリアに感電する地面のパッチがある
Area has patches of tar,エリアにはタール領域がまだらに存在する
Area has patches of desecrated ground,エリアには冒涜領域がまだらに存在する
Areas Have the Same Layout for all Players,エリアは全てのプレイヤーにとって同じレイアウトとなる
Minimap is Revealed,ミニマップが開示されている
"Life, Mana, Energy Shield and Flasks are not refilled in Towns",ライフ、マナ、エナジーシールドおよびフラスコは街に戻っても回復しない
Area contains many Totems,エリアには多数のトーテムが出現する
Area has Damaging Totems,エリアにはダメージを与えるトーテムが出現する
Area is inhabited by Skeletons,エリアにはスケルトンが生息している
Area is inhabited by Bandits,エリアには山賊が生息している
Area is inhabited by Goatmen,エリアにはゴートマンが生息している
Area is inhabited by Animals,エリアには動物が生息している
Area is inhabited by Demons,エリアにはデーモンが生息している
Area is inhabited by Humanoids,エリアにはヒューマノイドが生息している
Area is inhabited by Sea Witches and their Spawn,エリアにはシーウィッチとその幼体が生息している
Area is inhabited by Undead,エリアにはアンデッドが生息している
Area is inhabited by ranged monsters,エリアには遠距離攻撃を行うモンスターが生息している
Area is inhabited by wild Animals,エリアには動物が生息している
Unique Boss drops an additional Map,ユニークボスはマップを追加で1個ドロップする
Unique Boss drops {0} additional Maps,ユニークボスが {0} 個の追加マップをドロップする
Area is inhabited by {0} additional Rogue Exile,エリアにはローグエグザイルが追加で{0}体生息している
Area is inhabited by {0} additional Rogue Exiles,エリアに {0} 体の追加のローグ追放者が生息している
Area is inhabited by {0} additional Warband,エリアにはウォーバンドが追加で{0}体生息している
Area is inhabited by {0} additional Warbands,エリアに {0} 個の追加ウォーバンドが生息している
Area contains an extra Shrine,エリアに特別な祠が1つ含まれる
Area contains {0} extra Shrines,エリアに {0} 個の追加の祠が含まれる
Shrines are corrupted by Darkness,シュラインは闇によりコラプトされている
Area can contain Mysterious Harbingers,エリアには複数の奇妙なハービンジャーが出現することがある
Ancient Talismans possess monsters throughout Wraeclast,古代のタリスマンがレイクラスト中のモンスターに取り憑いている
Caches of Perandus wealth can be found throughout Wraeclast,ペランダスの富の隠し場所がレイクラスト中で見つかる
Area contains {0} additional Monster possessed by an Ancient Talisman,エリアには古代のタリスマンに憑依されているモンスターが追加で{0}体いる
Area contains {0} additional Monsters possessed by Ancient Talismans,エリアに {0} 体の追加の古代タリスマンに憑かれたモンスターが含まれる
Area contains a Stone Circle,エリアにはストーンサークルが出現する
Area is haunted by {0} additional Tormented Spirit,マップは追加で1体の拷問された幽霊が彷徨っている
Area is haunted by {0} additional Tormented Spirits,エリアに {0} 体の追加の苦悶の霊が生息している
Area contains an extra Strongbox,エリアに特別なチェストが1つ含まれる
Area contains {0} extra Strongboxes,エリアに {0} 個の追加のチェストが含まれる
{0}% more Magic Monsters,マジックモンスターが{0}%上昇する
{0}% more Rare Monsters,レアモンスターが{0}%上昇する
Monsters Fracture,モンスターは粉砕される
Players take {0} Chaos Damage per second,プレイヤーは毎秒{0}の混沌ダメージを受ける
Players have Blood Magic,プレイヤーはブラッドマジックを獲得する
Players have Elemental Equilibrium,プレイヤーはエレメンタルバランスを持つ
Players have Chaos Inoculation,プレイヤーはカオスイノキュレーションを得る
Players are Cursed with Vulnerability,プレイヤーはヴァルネラビリティの呪いを受ける
Players are Cursed with Warlord's Mark,プレイヤーはウォーロードの呪印設定で呪われている
Players are Cursed with Enfeeble,プレイヤーはエンフィーブルの呪いを受ける
Players are Cursed with Temporal Chains,プレイヤーはテンポラルチェーンの呪いを受ける
Players are Cursed with Elemental Weakness,プレイヤーはエレメンタルウィークネスの呪いを受ける
Players are Cursed with Punishment,プレイヤーはパニッシュメントで呪われている
Players have no Life or Mana Regeneration,プレイヤーはライフおよびマナの自動回復がなくなる
{0}% maximum Player Resistances,プレイヤーの耐性の最大値が{0}%
"Players have {0}% more Recovery of Life, Mana and Energy Shield",プレイヤーのライフ、マナ、エナジーシールドの回復量が {0}% 上昇
"Players have {0}% less Recovery of Life, Mana and Energy Shield",プレイヤーのライフ、マナ、エナジーシールドの回復量が{0}%低下
Players deal {0}% more Projectile Damage,プレイヤーの投射物ダメージが{0}%上昇する
Players deal {0}% less Projectile Damage,プレイヤーの投射物ダメージが{0}%低下
Players convert all Physical Damage to Fire,プレイヤーは物理ダメージをすべて火ダメージに変換する
Projectiles move at {0}% increased Speed,投射物が飛ぶスピードが{0}%増加する
Projectiles move at {0}% reduced Speed,投射物が飛ぶスピードが{0}%減少する
{0}% more Monster Life,モンスターのライフが{0}%上昇する
Monsters have {0}% increased Area of Effect,モンスターの効果範囲が{0}%増加する
Monsters have {0}% reduced Area of Effect,モンスターの効果範囲が{0}%減少する
Monsters have {0}% chance to Avoid being Chilled or Frozen,モンスターは{0}%の確率で冷却および凍結を無効化する
Monsters cannot be Chilled or Frozen,モンスターは冷気効果や凍結効果を受けない
Monsters have {0}% chance to Avoid being Ignited,モンスターは{0}%の確率で発火を無効化する
Monsters cannot be Ignited,モンスターは延焼効果を受けない
Monsters have {0}% chance to Avoid being Shocked,モンスターは{0}%の確率で感電を無効化する
Monsters cannot be Shocked,モンスターは感電効果を受けない
Monsters have {0}% chance to Avoid Ailments,モンスターは{0}%の確率で状態異常を無効化する
Monsters cannot be affected by Ailments,モンスターはいかなる状態異常も受けない
Monsters have {0}% chance to Avoid Elemental Ailments,モンスターは{0}%の確率で元素系状態異常を無効化する
Monsters cannot be affected by Elemental Ailments,モンスターは属性状態異常を受けない
Monsters have {0}% increased Critical Strike Chance,モンスターのクリティカル率が{0}%増加する
Monsters have {0}% reduced Critical Strike Chance,モンスターのクリティカル率が{0}%減少する
{0}% to Monster Critical Strike Multiplier,モンスターのクリティカルストライク倍率に{0}%上昇
{0}% Monster Life Leech Resistance,モンスターのライフリーチ耐性 {0}%
Cannot Leech Life from Monsters,モンスターからライフをリーチできない
{0}% Monster Mana Leech Resistance,モンスターのマナリーチ耐性 {0}%
Cannot Leech Mana from Monsters,モンスターからマナをリーチできない
{0}% increased Monster Damage,モンスターのダメージが{0}%増加する
Monsters have Onslaught,モンスターは猛攻ととなる
{0}% increased Monster Movement Speed,モンスターの移動スピードが{0}%増加する
{0}% reduced Monster Movement Speed,モンスターの移動速度が{0}%低下
{0}% increased Monster Attack Speed,モンスターのアタックスピードが{0}%増加する
